Model,Phishing Cost Weight,Accuracy,Phishing Precision,Phishing Recall,Phishing F1,ROC-AUC,Phishing Missed (FN),Legitimate Flagged (FP)
Decision Tree,1,1.0,1.0,1.0,1.0,1.0,0,0
Random Forest,1,1.0,1.0,1.0,1.0,1.0,0,0
Gaussian Naive Bayes,1,0.9996028256120741,0.9992680817086965,0.999800279608548,0.9995341098169717,0.9999000673988853,3,11
Multilayer ANN,1,0.9999148912025873,0.9998003194888179,1.0,0.999900149775337,0.9999999934176919,0,3
Decision Tree,2,1.0,1.0,1.0,1.0,1.0,0,0
Random Forest,2,1.0,1.0,1.0,1.0,1.0,0,0
Gaussian Naive Bayes,2,0.9995744560129365,0.9992015968063872,0.999800279608548,0.9995008485574524,0.9999000673988853,3,12
Multilayer ANN,2,0.9999432608017249,1.0,0.9998668530723653,0.9999334221038615,1.0,2,0
Decision Tree,5,1.0,1.0,1.0,1.0,1.0,0,0
Random Forest,5,1.0,1.0,1.0,1.0,1.0,0,0
Gaussian Naive Bayes,5,0.9995744560129365,0.9992015968063872,0.999800279608548,0.9995008485574524,0.9999000673988853,3,12
Multilayer ANN,5,0.9999148912025873,1.0,0.999800279608548,0.9999001298312195,0.9999999934176919,3,0
Decision Tree,10,1.0,1.0,1.0,1.0,1.0,0,0
Random Forest,10,1.0,1.0,1.0,1.0,1.0,0,0
Gaussian Naive Bayes,10,0.9995744560129365,0.9992015968063872,0.999800279608548,0.9995008485574524,0.9999000673988853,3,12
Multilayer ANN,10,0.9998865216034497,0.9998003061971643,0.9999334265361827,0.9998668619358274,0.9999999901265378,1,3
