Feature,Mean Absolute SHAP
URLSimilarityIndex,0.19120347474741614
NoOfSelfRef,0.05625207913827424
NoOfExternalRef,0.055696739394164384
LineOfCode,0.0521171381270274
NoOfImage,0.04306984245119935
HasSocialNet,0.0333417572870956
NoOfJS,0.02191730457117573
IsHTTPS,0.015944752136753837
HasDescription,0.012608518003700518
HasCopyrightInfo,0.011304196434014303
NoOfCSS,0.008710212817185436
NoOfOtherSpecialCharsInURL,0.008065157801758071
DomainTitleMatchScore,0.006166021218077759
URLLength,0.005493193987986324
NoOfLettersInURL,0.005144321836754431
NoOfEmptyRef,0.004625624859139052
NoOfDegitsInURL,0.004096439717322927
NoOfiFrame,0.003690673026427575
LetterRatioInURL,0.0036131635101078626
HasFavicon,0.0034955786678737715
DegitRatioInURL,0.0034243315105349868
LargestLineLength,0.0032431381252037736
NoOfSubDomain,0.003173105726056409
SpacialCharRatioInURL,0.0029312897439249253
HasSubmitButton,0.0024621474547434786
URLTitleMatchScore,0.0018324904946893197
HasHiddenFields,0.0013077965084393357
URLCharProb,0.0009852089405161682
CharContinuationRate,0.0007880620868676401
IsResponsive,0.0005535099283097314
DomainLength,0.0004159472024403568
TLDLegitimateProb,0.0003869853152472317
Robots,0.0003464240109322358
NoOfQMarkInURL,0.0003060449390793742
HasTitle,0.0002625997715028543
HasPasswordField,0.00023644429046793756
Pay,0.0002326067121302612
NoOfPopup,0.00012317408369956798
Bank,0.00011581395319036202
NoOfEqualsInURL,0.00010132702612174576
TLDLength,0.00010032707785374535
NoOfURLRedirect,8.349153447166184e-05
Crypto,2.7180158159501846e-05
HasExternalFormSubmit,1.1830512300436594e-05
NoOfSelfRedirect,1.0066450793763561e-05
ObfuscationRatio,4.0065428577659164e-06
IsDomainIP,2.2479772393137165e-06
NoOfAmpersandInURL,1.974636223526908e-06
HasObfuscation,8.936364317347287e-07
NoOfObfuscatedChar,3.6756672421228173e-07
